year,age,sex,people
2002,60,F,4598
2002,65,F,4490
2002,70,F,4311
2002,75,F,3572
2002,80,F,1955
2002,85,F,1817
2002,0,M,2869
2002,10,M,3762
2002,15,M,4194
2002,20,M,4687
2002,25,M,5139
2002,30,M,4961
2002,35,M,5028
2002,40,M,4605
2002,45,M,4348
2002,5,M,3362
2002,50,M,4250
2002,55,M,3559
2002,60,M,3709
2002,65,M,3520
2002,70,M,3151
2002,75,M,2314
2002,80,M,1145
2002,85,M,790
2003,0,F,2684
2003,10,F,3692
2003,15,F,3745
2003,20,F,4244
2003,25,F,4682
2003,30,F,4870
2003,35,F,5389
2003,40,F,5175
2003,45,F,4804
2003,5,F,3075
2003,50,F,4666
2003,55,F,4361
2003,60,F,4506
2003,65,F,4508
2003,70,F,4333
2003,75,F,3680
2003,80,F,2244
2003,85,F,1821
2003,0,M,2896
2003,10,M,3810
2003,15,M,4074
2003,20,M,4512
2003,25,M,5045
2003,30,M,4949
2003,35,M,5040
2003,40,M,4693
2003,45,M,4451
2003,5,M,3187
2003,50,M,4156
2003,55,M,3740
2003,60,M,3682
2003,65,M,3525
2003,70,M,3166
2003,75,M,2426
2003,80,M,1287
2003,85,M,812
2004,0,F,2601
2004,10,F,3637
2004,15,F,3699
2004,20,F,4098
2004,25,F,4464
2004,30,F,4849
2004,35,F,5260
2004,40,F,5340
2004,45,F,4983
2004,5,F,2934
2004,50,F,4530
2004,55,F,4505
2004,60,F,4441
2004,65,F,4430
2004,70,F,4409
2004,75,F,3727
2004,80,F,2493
2004,85,F,1809
2004,0,M,2824
2004,10,M,3720
2004,15,M,3986
2004,20,M,4346
2004,25,M,4802
2004,30,M,4894
2004,35,M,5030
2004,40,M,4737
2004,45,M,4510
2004,5,M,3129
2004,50,M,4116
2004,55,M,3894
2004,60,M,3575
2004,65,M,3469
2004,70,M,3229
2004,75,M,2461
2004,80,M,1428
2004,85,M,789
2005,0,F,2522
2005,10,F,3515
2005,15,F,3657
2005,20,F,4039
2005,25,F,4307
2005,30,F,4741
2005,35,F,5209
2005,40,F,5506
2005,45,F,5145
2005,5,F,2940
2005,50,F,4566
2005,55,F,4734
2005,60,F,4217
2005,65,F,4485
2005,70,F,4372
2005,75,F,3758
2005,80,F,2788
2005,85,F,1808
2005,0,M,2727
2005,10,M,3657
2005,15,M,3910
2005,20,M,4200
2005,25,M,4598
2005,30,M,4803
2005,35,M,4827
2005,40,M,4858
2005,45,M,4575
2005,5,M,3051
2005,50,M,4076
2005,55,M,4080
2005,60,M,3337
2005,65,M,3458
2005,70,M,3228
2005,75,M,2460
2005,80,M,1553
2005,85,M,804
2006,0,F,2551
2006,10,F,3354
2006,15,F,3693
2006,20,F,3904
2006,25,F,4140
2006,30,F,4687
2006,35,F,5123
2006,40,F,5557
2006,45,F,5213
2006,5,F,2863
2006,50,F,4600
2006,55,F,4893
2006,60,F,4046
2006,65,F,4498
2006,70,F,4274
2006,75,F,3864
2006,80,F,2900
2006,85,F,1917
2006,0,M,2737
2006,10,M,3508
2006,15,M,3882
2006,20,M,4119
2006,25,M,4362
2006,30,M,4658
2006,35,M,4767
2006,40,M,4894
2006,45,M,4593
2006,5,M,2954
2006,50,M,4179
2006,55,M,4119
2006,60,M,3256
2006,65,M,3487
2006,70,M,3193
2006,75,M,2514
2006,80,M,1558
2006,85,M,862
2007,0,F,2505
2007,10,F,3215
2007,15,F,3702
2007,20,F,3772
2007,25,F,3846
2007,30,F,4396
2007,35,F,4975
2007,40,F,5557
2007,45,F,5255
2007,5,F,2745
2007,50,F,4693
2007,55,F,4742
2007,60,F,4176
2007,65,F,4439
2007,70,F,4253
2007,75,F,3921
2007,80,F,2936
2007,85,F,2102
2007,0,M,2683
2007,10,M,3431
2007,15,M,3822
2007,20,M,4034
2007,25,M,4147
2007,30,M,4473
2007,35,M,4595
2007,40,M,4964
2007,45,M,4576
2007,5,M,2898
2007,50,M,4259
2007,55,M,4081
2007,60,M,3364
2007,65,M,3458
2007,70,M,3113
2007,75,M,2554
2007,80,M,1658
2007,85,M,915
2008,0,F,2576
2008,10,F,3085
2008,15,F,3731
2008,20,F,3612
2008,25,F,3844
2008,30,F,4271
2008,35,F,4919
2008,40,F,5545
2008,45,F,5353
2008,5,F,2696
2008,50,F,4855
2008,55,F,4630
2008,60,F,4276
2008,65,F,4338
2008,70,F,4270
2008,75,F,3916
2008,80,F,3026
2008,85,F,2245
2008,0,M,2599
2008,10,M,3270
2008,15,M,3889
2008,20,M,3942
2008,25,M,4008
2008,30,M,4347
2008,35,M,4544
2008,40,M,4953
2008,45,M,4695
2008,5,M,2926
2008,50,M,4384
2008,55,M,4007
2008,60,M,3521
2008,65,M,3424
2008,70,M,3086
2008,75,M,2551
2008,80,M,1732
2008,85,M,957
2009,0,F,2553
2009,10,F,2999
2009,15,F,3706
2009,20,F,3649
2009,25,F,3757
2009,30,F,4081
2009,35,F,4850
2009,40,F,5453
2009,45,F,5526
2009,5,F,2688
2009,50,F,5055
2009,55,F,4508
2009,60,F,4437
2009,65,F,4300
2009,70,F,4210
2009,75,F,3956
2009,80,F,3063
2009,85,F,2388
2009,0,M,2620
2009,10,M,3196
2009,15,M,3833
2009,20,M,3913
2009,25,M,3947
2009,30,M,4170
2009,35,M,4511
2009,40,M,4971
2009,45,M,4736
2009,5,M,2928
2009,50,M,4510
2009,55,M,3950
2009,60,M,3658
2009,65,M,3328
2009,70,M,3056
2009,75,M,2637
2009,80,M,1745
2009,85,M,1013
2010,0,F,2482
2010,10,F,2999
2010,15,F,3570
2010,20,F,3627
2010,25,F,3709
2010,30,F,3880
2010,35,F,4743
2010,40,F,5311
2010,45,F,5621
2010,5,F,2667
2010,50,F,5156
2010,55,F,4487
2010,60,F,4604
2010,65,F,4106
2010,70,F,4290
2010,75,F,3924
2010,80,F,3093
2010,85,F,2581
2010,0,M,2560
2010,10,M,3157
2010,15,M,3746
2010,20,M,3919
2010,25,M,3851
2010,30,M,3971
2010,35,M,4454
2010,40,M,4819
2010,45,M,4844
2010,5,M,2869
2010,50,M,4599
2010,55,M,3958
2010,60,M,3895
2010,65,M,3120
2010,70,M,3098
2010,75,M,2651
2010,80,M,1769
2010,85,M,1152
2011,0,F,2408
2011,10,F,2900
